status,doc_class,name,sparse,block_scale,accumulator,m,n,k,best_ms,mean_ms,peak_logical_tflops,mean_logical_tflops,peak_nonzero_tflops,regs_per_thread,sass_status,sass_family,sass_expected_count,sass_matched_count,sass_total_tensor_count,opcode,ptx_path,cubin_path,sass_text_path,sass_json_path,note
PASS,DOCUMENTED,dense/fp8/k16/e4m3xe4m3/acc-f16,0,0,f16,16,8,16,5.612736225,5.617843151,508.1526381,507.6906997,0,22,SASS_OK,QMMA,32,32,32,mma.sync.aligned.m16n8k16.row.col.f16.e4m3.e4m3.f16,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/ptx/dense_fp8_k16_e4m3xe4m3_acc-f16_bb69512c58fb.ptx,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/cubin/dense_fp8_k16_e4m3xe4m3_acc-f16_bb69512c58fb.cubin,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e4m3xe4m3_acc-f16_bb69512c58fb.sass.txt,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e4m3xe4m3_acc-f16_bb69512c58fb.sass.json,
PASS,DOCUMENTED,dense/fp8/k16/e4m3xe4m3/acc-f32,0,0,f32,16,8,16,11.16611195,11.16865253,255.4270218,255.3689186,0,38,SASS_OK,QMMA,32,32,32,mma.sync.aligned.m16n8k16.row.col.f32.e4m3.e4m3.f32,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/ptx/dense_fp8_k16_e4m3xe4m3_acc-f32_07abb3799991.ptx,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/cubin/dense_fp8_k16_e4m3xe4m3_acc-f32_07abb3799991.cubin,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e4m3xe4m3_acc-f32_07abb3799991.sass.txt,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e4m3xe4m3_acc-f32_07abb3799991.sass.json,
PASS,DOCUMENTED,dense/fp8/k16/e4m3xe5m2/acc-f16,0,0,f16,16,8,16,5.612287998,5.620089531,508.1932219,507.487773,0,22,SASS_OK,QMMA,32,32,32,mma.sync.aligned.m16n8k16.row.col.f16.e4m3.e5m2.f16,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/ptx/dense_fp8_k16_e4m3xe5m2_acc-f16_61c584c02393.ptx,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/cubin/dense_fp8_k16_e4m3xe5m2_acc-f16_61c584c02393.cubin,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e4m3xe5m2_acc-f16_61c584c02393.sass.txt,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e4m3xe5m2_acc-f16_61c584c02393.sass.json,
PASS,DOCUMENTED,dense/fp8/k16/e4m3xe5m2/acc-f32,0,0,f32,16,8,16,11.17046356,11.1932354,255.3275165,254.808071,0,38,SASS_OK,QMMA,32,32,32,mma.sync.aligned.m16n8k16.row.col.f32.e4m3.e5m2.f32,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/ptx/dense_fp8_k16_e4m3xe5m2_acc-f32_ac7fb8fe9bd9.ptx,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/cubin/dense_fp8_k16_e4m3xe5m2_acc-f32_ac7fb8fe9bd9.cubin,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e4m3xe5m2_acc-f32_ac7fb8fe9bd9.sass.txt,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e4m3xe5m2_acc-f32_ac7fb8fe9bd9.sass.json,
PASS,DOCUMENTED,dense/fp8/k16/e5m2xe4m3/acc-f16,0,0,f16,16,8,16,5.612671852,5.619845867,508.1584663,507.5097765,0,22,SASS_OK,QMMA,32,32,32,mma.sync.aligned.m16n8k16.row.col.f16.e5m2.e4m3.f16,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/ptx/dense_fp8_k16_e5m2xe4m3_acc-f16_39339d17352b.ptx,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/cubin/dense_fp8_k16_e5m2xe4m3_acc-f16_39339d17352b.cubin,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e5m2xe4m3_acc-f16_39339d17352b.sass.txt,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e5m2xe4m3_acc-f16_39339d17352b.sass.json,
PASS,DOCUMENTED,dense/fp8/k16/e5m2xe4m3/acc-f32,0,0,f32,16,8,16,11.17356777,11.19852161,255.2565822,254.6877899,0,38,SASS_OK,QMMA,32,32,32,mma.sync.aligned.m16n8k16.row.col.f32.e5m2.e4m3.f32,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/ptx/dense_fp8_k16_e5m2xe4m3_acc-f32_969cc6dd30b1.ptx,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/cubin/dense_fp8_k16_e5m2xe4m3_acc-f32_969cc6dd30b1.cubin,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e5m2xe4m3_acc-f32_969cc6dd30b1.sass.txt,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e5m2xe4m3_acc-f32_969cc6dd30b1.sass.json,
PASS,DOCUMENTED,dense/fp8/k16/e5m2xe5m2/acc-f16,0,0,f16,16,8,16,5.612576008,5.618284702,508.1671439,507.6507993,0,22,SASS_OK,QMMA,32,32,32,mma.sync.aligned.m16n8k16.row.col.f16.e5m2.e5m2.f16,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/ptx/dense_fp8_k16_e5m2xe5m2_acc-f16_31b756cfde83.ptx,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/cubin/dense_fp8_k16_e5m2xe5m2_acc-f16_31b756cfde83.cubin,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e5m2xe5m2_acc-f16_31b756cfde83.sass.txt,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e5m2xe5m2_acc-f16_31b756cfde83.sass.json,
PASS,DOCUMENTED,dense/fp8/k16/e5m2xe5m2/acc-f32,0,0,f32,16,8,16,11.17263985,11.19561005,255.2777821,254.7540249,0,38,SASS_OK,QMMA,32,32,32,mma.sync.aligned.m16n8k16.row.col.f32.e5m2.e5m2.f32,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/ptx/dense_fp8_k16_e5m2xe5m2_acc-f32_24817dfb9359.ptx,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/cubin/dense_fp8_k16_e5m2xe5m2_acc-f32_24817dfb9359.cubin,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e5m2xe5m2_acc-f32_24817dfb9359.sass.txt,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k16_e5m2xe5m2_acc-f32_24817dfb9359.sass.json,
PASS,DOCUMENTED,dense/fp8/k32/e4m3xe4m3/acc-f16,0,0,f16,16,8,32,5.647520065,5.655020714,1010.045715,1008.70602,0,26,SASS_OK,QMMA,32,32,32,mma.sync.aligned.m16n8k32.row.col.f16.e4m3.e4m3.f16,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/ptx/dense_fp8_k32_e4m3xe4m3_acc-f16_cc0181034873.ptx,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/cubin/dense_fp8_k32_e4m3xe4m3_acc-f16_cc0181034873.cubin,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k32_e4m3xe4m3_acc-f16_cc0181034873.sass.txt,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k32_e4m3xe4m3_acc-f16_cc0181034873.sass.json,
PASS,DOCUMENTED,dense/fp8/k32/e4m3xe4m3/acc-f32,0,0,f32,16,8,32,11.18355179,11.20338631,510.0574082,509.1544006,0,42,SASS_OK,QMMA,32,32,32,mma.sync.aligned.m16n8k32.row.col.f32.e4m3.e4m3.f32,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/ptx/dense_fp8_k32_e4m3xe4m3_acc-f32_7b7b1dbbec91.ptx,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/cubin/dense_fp8_k32_e4m3xe4m3_acc-f32_7b7b1dbbec91.cubin,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k32_e4m3xe4m3_acc-f32_7b7b1dbbec91.sass.txt,results/20260919T082444Z_NVIDIA_GeForce_RTX_5090/sass/dense_fp8_k32_e4m3xe4m3_acc-f32_7b7b1dbbec91.sass.json,
